Windspeed (m/s),   Region (-), Rot. Power (kW),  Thrust (kN) ,Gen. Torque (kNm), Rotational Speed (rad/s),  Pitch (rad), OOP Tip Disp. (m),       CP (-),       CT (-), Flap mom. (kNm), Edge mom. (kNm)
   16.500000,            2, 24943.374047,  1797.533762, 30460.144239,     0.790634,     0.143869,     8.304932,     0.196960,     0.234198, -39999.999262, 10526.140962
   16.750000,            2, 25463.313930,  1803.729322, 31095.079917,     0.790634,     0.147667,     8.245017,     0.192199,     0.228046, -39999.999266, 10745.540438
   17.000000,            2, 25983.584336,  1809.857854, 31730.419259,     0.790634,     0.151448,     8.185583,     0.187604,     0.222145, -39999.999266, 10965.079369
   17.250000,            2, 26504.394096,  1815.937484, 32366.417259,     0.790634,     0.155213,     8.126496,     0.183168,     0.216482, -39999.999263, 11184.845087
   17.500000,            2, 27026.113392,  1822.000836, 33003.525987,     0.790634,     0.158964,     8.067678,     0.178887,     0.211048, -39999.999255, 11404.995553
   17.750000,            2, 27548.721183,  1828.049617, 33641.719740,     0.790634,     0.162699,     8.009223,     0.174752,     0.205829, -39999.999243, 11625.523447
   18.000000,            2, 28071.553393,  1834.037451, 34280.187551,     0.790634,     0.166417,     7.951336,     0.170755,     0.200811, -39999.999231, 11846.146547
   18.250000,            2, 28593.623342,  1839.896452, 34917.724488,     0.790634,     0.170117,     7.894197,     0.166884,     0.195975, -39999.999222, 12066.443164
   18.500000,            2, 29114.813744,  1845.619582, 35554.187332,     0.790634,     0.173800,     7.837778,     0.163135,     0.191313, -39999.999215, 12286.361444
   18.750000,            2, 29636.635198,  1851.304769, 36191.420836,     0.790634,     0.177468,     7.781767,     0.159508,     0.186823, -39999.999204, 12506.543829
   19.000000,            2, 30160.526872,  1857.046968, 36831.182492,     0.790634,     0.181124,     7.725872,     0.156006,     0.182507, -39999.999188, 12727.604998
   19.250000,            2, 30686.261601,  1862.833817, 37473.194870,     0.790634,     0.184770,     7.670098,     0.152624,     0.178355, -39999.999167, 12949.451024
   19.500000,            2, 31212.030063,  1868.553640, 38115.248426,     0.790634,     0.188400,     7.614727,     0.149349,     0.174350, -39999.999147, 13171.312793
   19.750000,            2, 31736.858809,  1874.148039, 38756.154391,     0.790634,     0.192014,     7.559858,     0.146171,     0.170478, -39999.999131, 13392.775553
   20.000000,            2, 32261.614710,  1879.672295, 39396.971398,     0.790634,     0.195614,     7.505291,     0.143089,     0.166737, -39999.999115, 13614.205622
   20.250000,            2, 32788.241694,  1885.241374, 40040.073361,     0.790634,     0.199204,     7.450819,     0.140107,     0.163131, -39999.999092, 13836.427210
   20.500000,            2, 33317.279922,  1890.885991, 40686.119902,     0.790634,     0.202784,     7.396546,     0.137226,     0.159657, -39999.999062, 14059.670481
   20.750000,            2, 33847.148099,  1896.511559, 41333.179940,     0.790634,     0.206352,     7.342955,     0.134434,     0.156302, -39999.999033, 14283.271239
   21.000000,            2, 34375.373525,  1901.973345, 41978.233406,     0.790634,     0.209903,     7.290667,     0.131720,     0.153048, -39999.999049, 14506.194804
   21.250000,            2, 34901.262433,  1907.238044, 42620.434449,     0.790634,     0.213436,     7.239763,     0.129075,     0.149887, -39999.999002, 14728.159478
   21.500000,            2, 35427.613557,  1912.484873, 43263.199610,     0.790634,     0.216957,     7.189163,     0.126507,     0.146828, -39999.998985, 14950.333871
   21.750000,            2, 35956.535469,  1917.844218, 43909.101791,     0.790634,     0.220468,     7.137848,     0.124022,     0.143878, -39999.999691, 15173.570453
   22.000000,            2, 36487.693817,  1923.288738, 44557.739263,     0.790634,     0.223970,     7.085272,     0.121617,     0.141031, -39999.998943, 15397.670208
   22.250000,            2, 37019.480025,  1928.709530, 45207.141463,     0.790634,     0.227460,     7.031149,     0.119283,     0.138275, -39999.998916, 15621.874464
   22.500000,            2, 37552.132014,  1934.120771, 45857.600879,     0.790634,     0.230940,     6.975304,     0.117015,     0.135604, -39999.998888, 15846.237221
   22.750000,            2, 38086.771010,  1939.593229, 46510.486760,     0.790634,     0.234413,     6.918535,     0.114815,     0.133020, -39999.998859, 16071.285924
   23.000000,            2, 38623.524443,  1945.130576, 47165.954740,     0.790634,     0.237880,     6.862001,     0.112681,     0.130520, -39999.998832, 16297.168328
   23.250000,            2, 39160.705905,  1950.618349, 47821.945436,     0.790634,     0.241337,     6.807227,     0.110607,     0.128094, -39999.998806, 16523.296791
   23.500000,            2, 39696.122126,  1955.917861, 48475.780514,     0.790634,     0.244778,     6.755861,     0.108584,     0.125729, -39999.998782, 16748.911882
   23.750000,            2, 40229.077974,  1960.999531, 49126.611129,     0.790634,     0.248197,     6.708681,     0.106607,     0.123420, -39999.998758, 16973.862519
   24.000000,            2, 40760.913314,  1965.962840, 49776.073486,     0.790634,     0.251598,     6.664499,     0.104679,     0.121172, -39999.998731, 17198.678023
   24.250000,            2, 41293.138541,  1970.902057, 50426.011414,     0.790634,     0.254984,     6.621831,     0.102803,     0.118988, -39999.998977, 17423.891719
   24.500000,            2, 41826.360042,  1975.849041, 51077.167205,     0.790634,     0.258358,     6.579371,     0.100979,     0.116869, -39999.998673, 17649.617537
   24.750000,            2, 42361.135262,  1980.831417, 51730.219741,     0.790634,     0.261724,     6.535881,     0.099206,     0.114813, -39999.998641, 17875.916314
   25.000000,            2, 42898.202061,  1985.889975, 52386.070645,     0.790634,     0.265084,     6.490387,     0.097484,     0.112821, -39999.998608, 18102.935322
